date,channel_group,device_category,sessions,new_users,engaged_sessions,conversions,revenue_usd,bounce_rate,avg_session_duration_sec
2026-01-12,Email,desktop,232,141,97,15,647.29,0.404,100
2026-01-12,Direct,desktop,143,87,63,6,228.32,0.34,228
2026-01-12,Referral,desktop,122,93,65,5,267.09,0.489,68
2026-01-13,Organic Search,mobile,397,261,213,15,724.5,0.443,244
2026-01-13,Paid Search,desktop,178,98,110,7,266.28,0.373,138
2026-01-13,Paid Social,desktop,196,140,96,0,0.0,0.517,84
2026-01-13,Email,desktop,260,197,111,13,661.86,0.293,157
2026-01-13,Direct,mobile,132,81,56,4,178.57,0.503,140
2026-01-13,Referral,desktop,143,100,93,6,236.53,0.516,83
2026-01-14,Organic Search,mobile,326,217,186,9,334.36,0.523,185
2026-01-14,Paid Search,tablet,174,121,89,7,299.05,0.338,243
2026-01-14,Paid Social,mobile,210,141,117,4,142.62,0.507,183
2026-01-14,Email,mobile,289,168,168,16,803.08,0.395,237
2026-01-14,Direct,tablet,145,89,89,9,411.14,0.323,47
2026-01-14,Referral,mobile,125,69,62,2,100.79,0.412,217
2026-01-15,Organic Search,desktop,318,177,194,10,476.92,0.328,188
2026-01-15,Paid Search,mobile,157,102,78,7,312.56,0.313,181
2026-01-15,Paid Social,desktop,185,141,100,2,82.34,0.325,161
2026-01-15,Email,mobile,296,169,144,9,404.22,0.484,197
2026-01-15,Direct,mobile,146,113,76,3,157.25,0.404,45
2026-01-15,Referral,desktop,135,103,60,5,200.79,0.46,193
2026-01-16,Organic Search,mobile,292,180,145,8,314.91,0.578,118
2026-01-16,Paid Search,desktop,196,138,103,3,136.6,0.34,207
2026-01-16,Paid Social,desktop,218,122,124,7,254.68,0.382,61
2026-01-16,Email,desktop,258,149,165,14,627.21,0.522,63
2026-01-16,Direct,mobile,148,94,80,7,316.66,0.591,258
2026-01-16,Referral,tablet,122,75,54,4,184.33,0.441,227
2026-01-17,Organic Search,tablet,458,355,238,16,731.81,0.593,67
2026-01-17,Paid Search,desktop,227,140,96,4,155.24,0.316,70
2026-01-17,Paid Social,desktop,283,185,153,6,217.09,0.374,128
2026-01-17,Email,mobile,271,161,141,16,919.28,0.499,98
2026-01-17,Direct,tablet,192,113,121,9,414.46,0.327,75
2026-01-17,Referral,mobile,145,88,66,7,353.65,0.521,71
2026-01-18,Organic Search,mobile,434,291,262,10,454.56,0.445,249
2026-01-18,Paid Search,desktop,172,110,72,3,102.06,0.351,153
2026-01-18,Paid Social,mobile,232,142,137,0,0.0,0.449,129
2026-01-18,Email,mobile,319,247,185,14,640.44,0.51,88
2026-01-18,Direct,desktop,164,108,81,4,156.77,0.334,191
2026-01-18,Referral,mobile,158,93,85,6,291.64,0.559,247
2026-01-19,Organic Search,desktop,354,246,151,7,274.89,0.323,149
2026-01-19,Paid Search,desktop,166,94,73,5,179.06,0.554,258
2026-01-19,Paid Social,desktop,224,139,125,5,202.44,0.343,130
2026-01-19,Email,mobile,253,164,145,13,645.13,0.382,200
2026-01-19,Direct,mobile,147,92,81,5,203.12,0.552,245
2026-01-19,Referral,mobile,115,79,61,5,258.06,0.401,67
2026-01-20,Organic Search,mobile,321,182,212,12,471.18,0.434,169
2026-01-20,Paid Search,mobile,179,130,88,1,45.94,0.618,64
2026-01-20,Paid Social,mobile,193,130,101,2,77.23,0.474,198
2026-01-20,Email,mobile,295,224,168,15,861.23,0.526,161
2026-01-20,Direct,mobile,122,92,78,7,273.62,0.601,60
2026-01-20,Referral,mobile,168,98,70,6,248.41,0.421,241
2026-01-21,Organic Search,desktop,381,222,238,13,525.44,0.392,227
2026-01-21,Paid Search,mobile,186,107,117,9,344.47,0.467,249
2026-01-21,Paid Social,mobile,210,125,125,5,162.8,0.435,224
2026-01-21,Email,desktop,232,150,124,13,654.72,0.507,79
2026-01-21,Direct,desktop,147,101,86,2,93.53,0.573,117
2026-01-21,Referral,desktop,116,67,77,8,377.17,0.384,170
2026-01-22,Organic Search,mobile,342,217,215,6,275.0,0.477,122
2026-01-22,Paid Search,desktop,163,123,82,6,236.62,0.381,150
2026-01-22,Paid Social,desktop,227,168,150,8,263.39,0.422,107
2026-01-22,Email,desktop,276,175,160,16,908.73,0.461,169
2026-01-22,Direct,desktop,156,96,88,4,199.18,0.295,118
2026-01-22,Referral,mobile,109,81,48,4,159.85,0.486,74
2026-01-23,Organic Search,desktop,405,256,219,8,326.3,0.585,129
2026-01-23,Paid Search,mobile,171,94,103,8,277.51,0.472,46
2026-01-23,Paid Social,desktop,164,119,87,6,185.56,0.576,227
2026-01-23,Email,mobile,269,172,143,9,451.48,0.379,127
2026-01-23,Direct,desktop,154,93,74,3,131.98,0.388,256
2026-01-23,Referral,mobile,147,98,91,5,209.48,0.563,99
2026-01-24,Organic Search,desktop,355,222,168,14,646.19,0.447,236
2026-01-24,Paid Search,desktop,245,177,137,6,216.33,0.313,207
2026-01-24,Paid Social,mobile,235,142,111,3,124.31,0.337,62
2026-01-24,Email,mobile,311,201,161,11,633.41,0.519,200
2026-01-24,Direct,mobile,179,102,88,3,134.81,0.554,119
2026-01-24,Referral,mobile,135,94,90,10,534.87,0.407,133
2026-01-25,Organic Search,desktop,404,227,239,11,492.12,0.331,203
2026-01-25,Paid Search,desktop,219,165,121,7,280.63,0.509,65
2026-01-25,Paid Social,tablet,256,155,135,3,95.14,0.548,140
2026-01-25,Email,tablet,306,210,171,9,514.24,0.419,149
2026-01-25,Direct,desktop,186,109,103,4,158.4,0.378,69
2026-01-25,Referral,mobile,149,112,70,3,159.6,0.346,139
2026-01-26,Organic Search,desktop,351,236,161,7,337.38,0.568,205
2026-01-26,Paid Search,mobile,175,97,110,7,312.16,0.607,240
2026-01-26,Paid Social,desktop,232,172,156,3,102.97,0.395,224
2026-01-26,Email,desktop,234,180,130,14,783.57,0.616,72
2026-01-26,Direct,desktop,157,98,71,7,350.54,0.512,125
2026-01-26,Referral,desktop,125,88,66,6,300.63,0.585,254
2026-01-27,Organic Search,mobile,330,247,198,11,429.02,0.285,114
2026-01-27,Paid Search,mobile,165,113,110,4,149.12,0.443,73
2026-01-27,Paid Social,desktop,206,113,92,5,208.16,0.526,86
2026-01-27,Email,desktop,231,160,130,16,751.94,0.522,56
2026-01-27,Direct,desktop,151,116,64,1,37.99,0.61,169
2026-01-27,Referral,desktop,153,92,101,7,373.65,0.296,181
2026-01-28,Organic Search,mobile,364,237,227,8,348.75,0.462,194
2026-01-28,Paid Search,mobile,163,97,79,2,68.67,0.594,167
2026-01-28,Paid Social,mobile,190,136,125,5,155.14,0.445,153
2026-01-28,Email,desktop,234,161,137,13,664.21,0.376,59
2026-01-28,Direct,mobile,161,96,100,7,361.42,0.304,84
2026-01-28,Referral,mobile,135,96,57,8,347.66,0.462,211
2026-01-29,Organic Search,desktop,293,200,160,6,269.74,0.405,191
2026-01-29,Paid Search,desktop,165,99,73,2,91.99,0.408,148
2026-01-29,Paid Social,mobile,208,152,109,3,116.04,0.486,259
2026-01-29,Email,mobile,254,160,154,9,386.64,0.399,100
2026-01-29,Direct,mobile,126,89,83,6,235.89,0.473,225
2026-01-29,Referral,desktop,134,88,89,9,455.8,0.546,61
2026-01-30,Organic Search,mobile,267,203,171,4,199.54,0.298,135
2026-01-30,Paid Search,mobile,158,87,76,6,267.01,0.445,153
2026-01-30,Paid Social,mobile,226,141,132,4,153.45,0.493,59
2026-01-30,Email,tablet,241,142,125,13,542.4,0.293,189
2026-01-30,Direct,desktop,156,113,75,7,351.86,0.407,115
2026-01-30,Referral,tablet,131,77,71,6,234.89,0.557,140
2026-01-31,Organic Search,mobile,347,235,190,7,277.95,0.568,193
2026-01-31,Paid Search,mobile,210,123,107,7,233.6,0.542,233
2026-01-31,Paid Social,mobile,215,153,140,1,34.93,0.419,185
2026-01-31,Email,desktop,309,200,131,21,1033.55,0.524,213
2026-01-31,Direct,mobile,191,111,123,5,217.54,0.583,237
2026-01-31,Referral,tablet,139,105,73,6,271.88,0.581,96
2026-02-01,Organic Search,desktop,377,250,183,11,534.45,0.488,155
2026-02-01,Paid Search,desktop,209,136,127,5,208.57,0.45,223
2026-02-01,Paid Social,desktop,222,127,110,3,103.66,0.558,55
2026-02-01,Email,mobile,264,157,170,19,853.3,0.472,68
2026-02-01,Direct,desktop,176,99,95,5,247.56,0.544,124
2026-02-01,Referral,mobile,157,95,71,9,473.93,0.417,157
2026-02-02,Organic Search,mobile,378,267,232,11,397.91,0.384,57
2026-02-02,Paid Search,desktop,181,120,118,3,126.84,0.331,86
2026-02-02,Paid Social,mobile,169,113,84,8,342.04,0.597,65
2026-02-02,Email,desktop,253,185,168,9,403.41,0.602,75
2026-02-02,Direct,mobile,161,104,78,4,162.72,0.59,103
2026-02-02,Referral,mobile,125,73,74,4,205.85,0.576,190
2026-02-03,Organic Search,desktop,353,212,228,10,427.8,0.59,146
2026-02-03,Paid Search,mobile,194,134,92,5,201.14,0.616,173
2026-02-03,Paid Social,mobile,183,130,108,5,166.54,0.368,184
2026-02-03,Email,desktop,268,201,145,9,459.64,0.577,163
2026-02-03,Direct,mobile,158,88,99,6,232.53,0.573,110
2026-02-03,Referral,mobile,131,88,72,6,302.84,0.376,179
2026-02-04,Organic Search,mobile,318,236,172,5,249.99,0.387,188
2026-02-04,Paid Search,tablet,202,152,135,12,415.27,0.513,186
2026-02-04,Paid Social,desktop,190,121,107,6,251.93,0.433,213
2026-02-04,Email,mobile,252,156,126,11,488.07,0.31,195
2026-02-04,Direct,desktop,139,93,73,7,275.4,0.338,184
2026-02-04,Referral,tablet,110,67,65,4,217.6,0.515,66
2026-02-05,Organic Search,tablet,312,198,206,8,306.62,0.523,120
2026-02-05,Paid Search,mobile,193,129,87,9,405.27,0.289,123
2026-02-05,Paid Social,mobile,208,161,102,5,156.49,0.562,250
2026-02-05,Email,mobile,226,163,98,16,751.18,0.451,183
2026-02-05,Direct,mobile,152,109,64,8,302.79,0.411,79
2026-02-05,Referral,mobile,129,75,69,3,130.71,0.607,105
2026-02-06,Organic Search,mobile,356,271,231,7,263.2,0.366,192
2026-02-06,Paid Search,mobile,189,116,106,8,317.35,0.516,200
2026-02-06,Paid Social,mobile,202,145,129,4,141.22,0.317,176
2026-02-06,Email,mobile,266,180,167,14,721.79,0.454,193
2026-02-06,Direct,mobile,163,116,71,7,338.61,0.434,63
2026-02-06,Referral,desktop,120,69,56,9,420.99,0.288,144
2026-02-07,Organic Search,mobile,418,258,215,8,393.06,0.361,89
2026-02-07,Paid Search,desktop,197,149,125,10,430.54,0.365,226
2026-02-07,Paid Social,mobile,251,189,162,1,38.97,0.456,119
2026-02-07,Email,mobile,291,164,138,13,629.58,0.368,232
2026-02-07,Direct,mobile,183,120,84,5,226.73,0.32,148
2026-02-07,Referral,desktop,155,103,82,4,159.64,0.402,158
2026-02-08,Organic Search,desktop,360,234,171,14,544.21,0.356,162
2026-02-08,Paid Search,desktop,189,136,80,4,182.42,0.411,236
2026-02-08,Paid Social,mobile,220,132,131,9,321.86,0.283,244
2026-02-08,Email,desktop,280,191,122,19,800.77,0.578,237
2026-02-08,Direct,mobile,175,115,116,6,288.2,0.285,86
2026-02-08,Referral,mobile,155,97,69,5,243.4,0.538,187
2026-02-09,Organic Search,mobile,338,256,158,13,607.01,0.493,148
2026-02-09,Paid Search,mobile,181,139,118,4,159.64,0.41,184
2026-02-09,Paid Social,mobile,215,129,118,3,111.36,0.47,84
2026-02-09,Email,mobile,288,190,175,15,837.83,0.302,244
2026-02-09,Direct,mobile,173,117,98,6,239.94,0.345,85
2026-02-09,Referral,tablet,124,69,59,2,92.84,0.554,195
2026-02-10,Organic Search,desktop,355,218,238,12,449.75,0.389,164
2026-02-10,Paid Search,desktop,171,130,107,6,254.95,0.508,106
2026-02-10,Paid Social,desktop,201,142,114,4,136.78,0.572,250
2026-02-10,Email,mobile,238,158,152,17,853.61,0.345,251
2026-02-10,Direct,mobile,144,82,93,3,142.34,0.349,213
2026-02-10,Referral,mobile,120,79,67,2,80.45,0.348,219
2026-02-11,Organic Search,tablet,300,207,199,6,277.56,0.524,121
2026-02-11,Paid Search,desktop,173,130,109,3,130.3,0.304,94
2026-02-11,Paid Social,desktop,207,143,128,5,181.23,0.561,97
2026-02-11,Email,mobile,269,209,121,8,420.86,0.336,250
2026-02-11,Direct,tablet,122,90,79,3,120.14,0.317,131
2026-02-11,Referral,desktop,127,82,74,8,346.45,0.361,235
2026-02-12,Organic Search,mobile,287,162,148,9,355.58,0.54,189
2026-02-12,Paid Search,mobile,162,109,83,6,227.54,0.324,129
2026-02-12,Paid Social,desktop,205,143,132,8,256.34,0.574,159
2026-02-12,Email,desktop,268,199,153,15,736.33,0.391,169
2026-02-12,Direct,mobile,147,94,84,7,321.32,0.396,113
2026-02-12,Referral,desktop,147,97,82,7,364.54,0.348,45
2026-02-13,Organic Search,mobile,304,182,136,8,353.32,0.467,249
2026-02-13,Paid Search,desktop,152,94,86,4,171.98,0.431,131
2026-02-13,Paid Social,desktop,206,148,109,3,113.1,0.558,240
2026-02-13,Email,tablet,222,166,115,9,517.61,0.467,257
2026-02-13,Direct,desktop,166,114,99,5,240.62,0.573,82
2026-02-13,Referral,mobile,108,71,67,6,292.51,0.616,65
2026-02-14,Organic Search,mobile,376,222,207,12,510.95,0.438,242
2026-02-14,Paid Search,desktop,204,146,107,5,213.43,0.46,223
2026-02-14,Paid Social,desktop,244,157,115,3,106.78,0.588,165
2026-02-14,Email,tablet,321,200,170,7,397.26,0.367,243
2026-02-14,Direct,desktop,179,129,92,7,294.01,0.295,212
2026-02-14,Referral,desktop,146,110,99,7,377.18,0.609,196
2026-02-15,Organic Search,desktop,408,235,177,10,402.49,0.381,73
2026-02-15,Paid Search,mobile,186,119,79,4,173.54,0.483,245
2026-02-15,Paid Social,mobile,268,198,140,8,278.05,0.288,145
2026-02-15,Email,tablet,289,200,149,13,607.0,0.52,258
2026-02-15,Direct,mobile,175,102,111,5,215.99,0.55,103
2026-02-15,Referral,mobile,140,93,70,4,205.69,0.505,197
2026-02-16,Organic Search,desktop,357,198,190,7,269.63,0.41,241
2026-02-16,Paid Search,mobile,170,98,107,7,304.68,0.524,55
2026-02-16,Paid Social,tablet,191,140,126,2,84.75,0.419,151
2026-02-16,Email,mobile,239,170,156,17,970.19,0.55,237
2026-02-16,Direct,desktop,161,95,68,3,129.73,0.548,222
2026-02-16,Referral,mobile,134,94,83,10,416.98,0.335,232
2026-02-17,Organic Search,desktop,381,221,240,7,331.42,0.403,193
2026-02-17,Paid Search,desktop,175,130,113,5,196.73,0.533,229
2026-02-17,Paid Social,desktop,216,147,117,3,107.67,0.53,95
2026-02-17,Email,desktop,285,198,149,20,1009.74,0.324,88
2026-02-17,Direct,mobile,152,103,66,5,243.82,0.331,236
2026-02-17,Referral,mobile,128,98,74,8,407.09,0.45,249
2026-02-18,Organic Search,desktop,359,231,167,11,465.0,0.563,231
2026-02-18,Paid Search,mobile,175,121,89,6,211.37,0.618,97
2026-02-18,Paid Social,desktop,192,116,107,2,73.47,0.505,108
2026-02-18,Email,desktop,261,190,110,16,762.86,0.542,67
2026-02-18,Direct,desktop,147,89,69,6,249.04,0.303,54
2026-02-18,Referral,mobile,109,72,61,4,189.09,0.389,91
2026-02-19,Organic Search,mobile,354,254,188,9,423.42,0.413,113
2026-02-19,Paid Search,mobile,178,117,78,8,362.1,0.619,255
2026-02-19,Paid Social,desktop,204,123,121,7,274.24,0.515,110
2026-02-19,Email,mobile,260,151,115,17,738.36,0.511,171
2026-02-19,Direct,mobile,157,118,88,3,142.53,0.469,244
2026-02-19,Referral,mobile,124,80,65,5,228.48,0.295,239
2026-02-20,Organic Search,mobile,336,214,177,6,272.32,0.49,218
2026-02-20,Paid Search,desktop,194,108,88,4,179.82,0.49,82
2026-02-20,Paid Social,mobile,205,149,129,2,70.74,0.299,77
2026-02-20,Email,mobile,241,174,112,11,483.38,0.436,255
2026-02-20,Direct,desktop,105,57,56,2,103.42,0.503,112
2026-02-20,Referral,tablet,121,71,70,4,202.32,0.416,130
2026-02-21,Organic Search,desktop,422,293,203,10,389.08,0.397,227
2026-02-21,Paid Search,mobile,193,133,96,4,172.25,0.561,143
2026-02-21,Paid Social,mobile,256,158,154,4,129.43,0.445,106
2026-02-21,Email,desktop,313,227,194,15,716.07,0.451,221
2026-02-21,Direct,mobile,157,99,103,3,157.59,0.547,214
2026-02-21,Referral,tablet,143,103,72,10,453.21,0.31,191
2026-02-22,Organic Search,mobile,394,246,235,6,290.63,0.462,241
2026-02-22,Paid Search,mobile,193,121,123,10,362.85,0.511,76
2026-02-22,Paid Social,mobile,207,137,139,1,39.92,0.476,143
2026-02-22,Email,mobile,317,201,196,14,657.17,0.35,50
2026-02-22,Direct,mobile,171,119,80,4,203.68,0.371,215
2026-02-22,Referral,desktop,164,122,104,9,418.12,0.392,76
2026-02-23,Organic Search,mobile,308,227,132,8,311.7,0.459,252
2026-02-23,Paid Search,mobile,166,127,92,8,302.78,0.427,63
2026-02-23,Paid Social,desktop,180,105,94,7,300.31,0.533,113
2026-02-23,Email,mobile,275,183,116,24,1091.97,0.514,119
2026-02-23,Direct,tablet,160,111,93,7,322.68,0.361,100
2026-02-23,Referral,mobile,128,99,77,3,152.1,0.542,121
2026-02-24,Organic Search,mobile,333,258,201,10,367.24,0.323,234
2026-02-24,Paid Search,desktop,201,130,84,5,199.28,0.302,82
2026-02-24,Paid Social,mobile,174,113,110,4,161.51,0.326,182
2026-02-24,Email,mobile,204,137,137,9,449.99,0.574,88
2026-02-24,Direct,mobile,166,117,110,4,149.62,0.362,85
2026-02-24,Referral,mobile,144,101,65,7,297.61,0.608,234
2026-02-25,Organic Search,mobile,401,252,185,14,648.18,0.293,91
2026-02-25,Paid Search,mobile,174,124,77,13,596.53,0.594,73
2026-02-25,Paid Social,desktop,219,160,115,3,93.14,0.37,96
2026-02-25,Email,desktop,296,192,184,11,627.52,0.517,203
2026-02-25,Direct,desktop,141,97,62,4,171.11,0.406,211
2026-02-25,Referral,mobile,149,101,71,4,195.43,0.581,201
2026-02-26,Organic Search,desktop,366,270,234,9,436.57,0.444,75
2026-02-26,Paid Search,desktop,143,97,93,6,260.47,0.568,60
2026-02-26,Paid Social,mobile,220,149,139,3,102.78,0.546,182
2026-02-26,Email,mobile,239,162,123,13,631.19,0.593,69
2026-02-26,Direct,mobile,156,103,90,4,164.19,0.45,51
2026-02-26,Referral,desktop,133,100,72,6,278.21,0.315,147
2026-02-27,Organic Search,desktop,304,220,185,11,433.96,0.513,129
2026-02-27,Paid Search,mobile,192,107,88,6,272.41,0.467,97
2026-02-27,Paid Social,mobile,210,138,90,2,68.49,0.514,188
2026-02-27,Email,mobile,293,182,167,14,761.53,0.321,227
2026-02-27,Direct,mobile,139,105,68,3,128.46,0.349,162
2026-02-27,Referral,mobile,171,108,106,6,271.43,0.45,175
2026-02-28,Organic Search,desktop,402,260,249,10,457.62,0.399,142
2026-02-28,Paid Search,tablet,172,121,81,5,222.9,0.368,239
2026-02-28,Paid Social,desktop,240,173,133,4,156.82,0.583,203
2026-02-28,Email,desktop,277,184,179,7,384.29,0.528,180
2026-02-28,Direct,desktop,196,112,108,7,317.05,0.477,94
2026-02-28,Referral,desktop,153,101,98,3,118.6,0.366,191
2026-03-01,Organic Search,mobile,362,257,184,6,217.77,0.557,66
2026-03-01,Paid Search,mobile,184,106,112,7,255.25,0.592,229
2026-03-01,Paid Social,mobile,222,153,96,4,131.26,0.603,77
2026-03-01,Email,mobile,278,165,129,11,531.04,0.551,53
2026-03-01,Direct,mobile,163,94,73,5,243.58,0.617,169
2026-03-01,Referral,desktop,162,101,109,2,93.46,0.366,162
2026-03-02,Organic Search,mobile,353,232,170,7,269.51,0.398,250
2026-03-02,Paid Search,mobile,175,105,101,5,231.16,0.474,201
2026-03-02,Paid Social,mobile,233,143,119,3,121.23,0.432,70
2026-03-02,Email,mobile,250,142,127,6,299.92,0.423,219
2026-03-02,Direct,desktop,125,87,68,2,102.97,0.44,164
2026-03-02,Referral,mobile,119,90,54,5,267.58,0.468,235
2026-03-03,Organic Search,desktop,287,212,168,9,428.07,0.558,259
2026-03-03,Paid Search,mobile,200,144,86,8,328.46,0.403,251
2026-03-03,Paid Social,desktop,205,134,115,7,288.25,0.583,168
2026-03-03,Email,mobile,215,118,106,10,438.73,0.502,171
2026-03-03,Direct,desktop,154,116,82,4,209.61,0.548,206
2026-03-03,Referral,desktop,126,75,58,9,424.13,0.43,62
2026-03-04,Organic Search,mobile,341,260,167,9,362.35,0.564,64
2026-03-04,Paid Search,mobile,185,127,106,2,73.59,0.468,209
2026-03-04,Paid Social,desktop,194,112,123,7,214.73,0.553,151
2026-03-04,Email,mobile,256,189,160,9,496.59,0.375,62
2026-03-04,Direct,desktop,154,97,79,2,83.82,0.302,116
2026-03-04,Referral,mobile,107,69,63,6,273.3,0.481,104
2026-03-05,Organic Search,mobile,335,233,152,8,376.82,0.568,119
2026-03-05,Paid Search,tablet,197,110,115,7,327.19,0.295,72
2026-03-05,Paid Social,mobile,204,123,130,3,115.41,0.391,108
2026-03-05,Email,desktop,251,142,116,18,1004.21,0.595,108
2026-03-05,Direct,mobile,141,101,66,2,76.85,0.322,87
2026-03-05,Referral,mobile,120,90,54,7,332.43,0.608,48
2026-03-06,Organic Search,tablet,367,260,174,12,564.57,0.38,103
2026-03-06,Paid Search,mobile,166,113,94,7,300.64,0.594,199
2026-03-06,Paid Social,mobile,215,148,95,3,122.13,0.443,197
2026-03-06,Email,mobile,269,150,123,12,558.35,0.55,147
2026-03-06,Direct,desktop,151,86,96,8,352.85,0.319,50
2026-03-06,Referral,desktop,135,83,72,3,162.62,0.578,232
2026-03-07,Organic Search,desktop,349,213,217,9,372.28,0.473,60
2026-03-07,Paid Search,mobile,209,157,128,6,251.88,0.425,216
2026-03-07,Paid Social,desktop,261,197,146,8,328.84,0.553,219
2026-03-07,Email,mobile,287,205,130,14,706.45,0.343,236
2026-03-07,Direct,mobile,165,95,103,6,228.33,0.435,182
2026-03-07,Referral,mobile,164,127,90,5,232.03,0.561,88
2026-03-08,Organic Search,mobile,364,226,198,10,462.84,0.409,173
2026-03-08,Paid Search,mobile,236,129,141,6,267.77,0.353,62
2026-03-08,Paid Social,mobile,260,158,136,4,171.7,0.294,92
2026-03-08,Email,desktop,331,231,218,16,722.46,0.603,212
2026-03-08,Direct,mobile,160,91,69,3,140.44,0.509,96
2026-03-08,Referral,desktop,154,111,97,6,259.64,0.323,166
2026-03-09,Organic Search,desktop,318,183,202,12,541.13,0.325,73
2026-03-09,Paid Search,desktop,157,118,80,3,113.0,0.596,117
2026-03-09,Paid Social,desktop,189,106,94,5,183.86,0.546,240
2026-03-09,Email,desktop,273,175,125,8,367.32,0.601,229
2026-03-09,Direct,mobile,167,108,108,8,418.15,0.395,48
2026-03-09,Referral,desktop,136,103,57,9,377.56,0.38,186
2026-03-10,Organic Search,mobile,309,174,151,7,328.55,0.418,174
2026-03-10,Paid Search,mobile,171,95,113,3,101.29,0.531,51
